DE;EN;DA;ES;CS;SV;
Auftrag Details;Job details;Ordre detaljer;-;-;Uppdrag detaljer;
Auftrag Druckeigenschaften;Job printing features;Ordre printeregenskaber;-;-;Uppdrag utskriftsegenskaper;
Auftrag einfügen;Insert job;-;-;-;Infoga uppdrag;
Auftrag Eingabe;Input job;-;-;Zadání zakázky;Inmatning uppdrag;
Auftrag eingeben;Enter job;Ordre input;Crear tarea;-;Mata in uppdrag;
Auftrag Ende;End of job;Ordre slut;-;Konec zakázky;Uppdrag slut;
Auftrag erfolgreich gestartet;Job successfully started;-;-;-;Uppdrag har startats framgångsrikt;
Auftrag ERP-Freigabe;Job ERP-Release;-;-;-;Uppdrag ERP-frisläppning;
Auftrag Fehler;job error;-;-;Chyba v zakázce;Uppdrag fel;
Auftrag festsetzen;Fix job;-;-;-;Fixera uppdrag;
Auftrag fixieren;Fix job;-;-;-;-;
Auftrag fixiert;Job fixed;-;-;-;-;
Auftrag freigeben;Release job;Frigive ordre;-;-;Frisläpp uppdrag;
Auftrag freigeben zum ERP System;Release job to ERP system;-;-;-;Frisläpp uppdrag till ERP-systemet;
Auftrag freigeben(Metall;Release job(metal;-;-;-;Frisläpp uppdrag (metall;
Auftrag freigegeben;release job;-;-;-;Uppdrag frisläppt;
Auftrag gedruckt;Job was printed;-;-;-;Uppdrag utskrivet;
Auftrag gerüstet;Job set up;-;-;-;Uppdrag riggat;
Auftrag gestartet;Job is started;Ordre startet;-;-;Uppdrag startat;
Auftrag in Import Buffer;Job is in ERP-Import buffer;-;-;-;Uppdrag i import-buffert;
Auftrag ist abgeschlossen;Job is closed;-;-;-;Uppdraget är stängt;
Auftrag ist festgesetzt;Job is fixed;-;-;-;Uppdraget är fixerat;
Auftrag ist schon vorhanden (Auftragsarchiv;Job still exists (job archive;-;-;-;Uppdraget existerar redan (uppdragsarkiv;
Auftrag kopieren;Copy job;Kopiere ordre;-;-;Kopiera uppdrag;
Auftrag läuft;Job is running;Ordren kører;La tarea se está ejecutando;-;Uppdrag utförs;
Auftrag läuft nicht;Job is not running;-;-;-;Uppdrag utförs ej;
Auftrag läuft oder ist bereits freigegeben;Job is running or is already released;Ordre kører eller er allerede frigivet;-;-;Uppdrag utförs eller har redan frisläppts;
Auftrag Läuft oder ist bereits freigegeben;Job is running or is already released;Ordren kører og er frigivet;La tarea se está ejecutando o ya se ha dado la orden;Zakázka beží nebo byla práve uvolnena;Uppdrag utförs eller har redan frisläppts;
Auftrag läuft,umbuchen nicht möglich;Job is running, re-booking is not possible;-;-;-;Uppdrag utförs, ombokning ej möjligt;
Auftrag löschen;Delete job;-;-;-;Radera uppdrag;
Auftrag nicht angemeldet;Job not applied;Ordre ikke bogført;-;-;-;
Auftrag nicht erzeugt;Job not created;-;-;-;Uppdrag ej skapat;
Auftrag nicht gefunden;Job not found;Ordre ikke fundet;-;-;Uppdraget kunde ej hittas;
Auftrag nicht in Bearbeitung;Job not in process;-;-;-;Uppdraget bearbetas ej;
Auftrag nicht vorhanden;Job no does not exist;Ordre ikke ledig;Tarea no existente;-;Uppdrag existerar ej;
Auftrag Nr;#Job;-;-;-;-;
Auftrag Nr. übernehmen;Apply job no.;-;-;-;-;
Auftrag optimieren;Optimize job;-;-;-;Optimera uppdrag;
Auftrag planen;Schedule job;Planlæg ordre;-;-;Planera uppdrag;
Auftrag reaktivieren;Reactivate job;-;-;-;Reaktivera uppdrag;
Auftrag ruesten;Set up job;Opstil ordre;-;-;-;
Auftrag rüsten;Set up job;Maskinopstilling;Preparar la tarea;-;Rigga uppdrag;
Auftrag Rüsten;Set up job;-;-;-;-;
Auftrag Rüsten (Automatikstart nach Rüstzeit;Set up job (automatic start following set up time;-;-;-;Uppdrag riggning (automatisk start efter riggningstid;
Auftrag rüstet bereits;Job is setting up;-;-;-;-;
Auftrag splitten;split workorder;-;-;-;-;
Auftrag Start Maschine;Job start machine;-;-;-;Uppdrag start maskin;
Auftrag starten;Start job;Start ordre;Iniciar la tarea;Zacít zakázku;Starta uppdrag;
Auftrag starten oder beenden;Start or finish job;-;-;-;Starta eller avsluta uppdrag;
Auftrag starten, unterbrechen oder beenden;Job start, interrupt and finish;-;-;-;-;
Auftrag Status Wechsel;Change of job status;-;-;Zmenit status zakázky;Uppdrag status byte;
Auftrag stornieren (löschen;Delete job;-;-;-;Stornera uppdrag (radera;
Auftrag terminieren;Schedule job;Schedulere ordre;-;-;Avsluta uppdrag;
Auftrag terminiert;Job scheduled;Ordre lukket;-;-;Terminera uppdrag;
Auftrag umbuchen  (Maschine wechseln;Rebook job (machine change;Flytte ordre (veksle maskine;-;-;Boka om uppdrag (byte av maskin;
Auftrag unbekannt;Job no unknown;Ukendt ordre;-;-;Okänt uppdrag;
Auftrag unterbr;Interupt job;Afbryde ordrer;-;-;Avbryt uppdrag;
Auftrag unterbrechen;Interrupt job;Afbryd ordre;Interrumpir la tarea;-;Avbryt uppdrag;
Auftrag Unterbrechung;Interrupt job;-;-;Prerušení zakázky;Avbryt uppdrag;
Auftrag unterbrochen;Job is interupted;Ordre afbrudt;-;-;Uppdrag avbrutet;
Auftrag vorbetrachten;Preview job;Ordrepreview;-;-;Förhandsgranska uppdrag;
Auftrag war bereits gestartet;Job was still started;-;-;-;Uppdrag hade redan startats;
Auftrag wird gerüstet;Job set up status;Maskinopstilling;La tarea se está preparando;-;Uppdrag riggas;
Auftrag wird nicht gefunden;Job no can`t be found;Ordren kan ikke findes;-;-;Uppdrag hittas ej;
Auftrag wird optimiert;Job is being optimized;-;-;-;Uppdrag optimeras;
Auftrag wurde bereits gedruckt;Job has already been printed;-;-;-;Uppdrag har redan skrivits ut;
Auftrag wurde erfolgreich beendet;Job succesfull finished;-;-;-;-;
Auftrag wurde erfolgreich unterbrochen;Job succesfull interrupted;-;-;-;-;
Auftrag zusammenfassen;combine workorder;-;-;-;-;
AUFTRAG_FREIGABE;JOB_RELEASE;-;-;-;-;
AUFTRAG_START_MASCHINE;JOB_START_MACHINE;-;-;-;-;
AUFTRAG_STATUS;JOB_STATUS;-;-;-;-;
Auftrag-Freigabe;Job release;-;-;-;Uppdragsfrisläppning;
Auftrag-Nr;#Job;Ordre-nr;-;-;Uppdrag nr.;
Auftrag-Nr.  (Kopie;Job-No.  (copy;-;-;Císlo zakázky;Uppdrag nr. (kopia;
Auftrag-Nr. bereits vorhanden;Job no already exists;-;-;-;Uppdrag nr. existerar redan;
Auftrag-Nr. eingeben;Enter job no;-;-;-;Mata in uppdrag nr.;
Auftrag-Nr. ist schon vorhanden;Job no still exists;-;-;-;Uppdrag nr. existerar redan;
Auftrag-Nr. mit Text;Job no. with text;-;-;-;Uppdrag nr. med text;
Auftrag-Nr. neu;new workorder no;-;-;-;-;
Auftrag-Nr. Plan;Job no sched.;-;-;-;Uppdrag nr. plan;
Auftrag-Nr. Start;Job no start;-;-;-;Uppdrag nr. start;
Auftrag-Nr.eingeben;Input Job no;-;-;-;-;
Auftrag-Start: Signal geschrieben: Maschine;Job started: signal written: machine;-;-;-;Uppdragsstart: signal skriven: maskin;
Aufträge;Jobs;Ordrer;-;-;Uppdrag;
Auftrage ~holen~ erlaubt;Job ~retrieval~ allowed;-;-;-;~Hämta~ uppdrag tillåtet;
Aufträge einlesen (Interface;Read jobs (Interface;-;-;-;-;
Aufträge festsetzen;Fix W/O;-;-;-;-;
Aufträge grafisch anzeigen;Show W/O graphical;-;-;-;-;
Aufträge lösen;Release W/O;-;-;-;-;
Aufträge starten oder beenden;Start or finish jobs;-;-;-;Starta eller avsluta uppdrag;
Aufträge terminieren;Schedule all jobs;Planlægge ordrer;-;-;Terminera uppdrag;
Aufträge werden aneinander gereiht;Job will be string together;-;-;-;Uppdrag radas upp;
Aufträgen mit geringer Taktzeit;Jobs with shorter cycle time;-;-;-;Uppdrag med låg takttid;
Auftragende;end of workorder;-;-;-;-;
Auftragfreigabe Fehler;Job release error;-;-;-;Fel uppdragsfrisläppning;
Auftragnr;#Job;-;-;-;Uppdragsnr.;
AuftragNr;#Job;-;-;-;-;
AuftragNr_Plan;Jobno_Sched.;-;-;-;-;
AUFTRAGRESETPACK;JOB_RESET_PACK;-;-;-;-;
AUFTRAGRESETPRUEF;JOB_RESET_TEST;-;-;-;-;
AUFTRAGRESETSTUECK;JOB_RESET_PART;-;-;-;-;
Auftrags Nr;#Job;-;Trabaja;-;Uppdragsnr.;
Auftrags- und Rueststart und -ende über Buskoppler;Job and set up start with bus controller;-;-;-;Uppdrags- och riggningsstart och -slut via buscontroller;
Auftrags-Nr;#Job;Ordre nr;-;-;Uppdragsnr.;
Auftrags-Nr. ist bereits vorhanden;Job no already exists;-;-;-;Uppdragsnr. existerar redan;
Auftrags-Nr. übernehmen;Take job no.;-;-;-;-;
Auftrags-Nr.eingeben;Enter job no;-;-;-;Mata in uppdragsnr.;
Auftrags-Statistik;Job statistics;Ordrens statistik;-;-;Uppdragsstatistik;
Auftrags-Stuckzahl;Job number of pieces;-;-;-;Uppdrags-stycktal;
Auftragsänderungen;Job changes;-;-;-;Uppdragsändring;
Auftragsarchiv;Job archive;Ordrearkiv;Archivo de tareas;Archiv zakázek;Uppdragsarkiv;
Auftragsarchiv schreiben;Write datas job archive;-;-;-;-;
Auftragsassistent;Job assistant;Ordreassistent;-;-;Uppdragsassistent;
Auftragsassistenten schließen und neuen Auftrag anlegen;Close job assistant and input a new job;-;-;-;-;
Auftragsbelegung;Job allocation;Ordrebelægning;-;-;Uppdragsbeläggning;
Auftragsbelegung detail;Detail job allocation;-;-;-;-;
Auftragsbezeichnung eingeben;Enter job description;-;-;-;Mata in uppdragsbeteckning;
Auftragsdaten;Job statistic;-;-;-;Uppdragsdata;
Auftragsdaten eingeben;Enter job data;-;Registrar tbaja datos;-;Mata in uppdragsdata;
Auftragsdaten einlesen;Read job data;Indlæse ordredata;-;-;Läsa in uppdragsdata;
Auftragsdaten exportieren;Export job data;-;-;-;Exportera uppdragsdata;
Auftragsdaten gedruckt;Job data printed;-;-;-;-;
Auftragsdetail;Job detail;-;-;-;Uppdragsdetalj;
Auftragsdetail_Update;Jobdetail update;-;-;-;Uppdatering uppdragsdetalj;
Auftragsdetails eingeben;Enter job details;-;-;-;Mata in uppdragsdetaljer;
Auftragsfeinplanung;Production scheduler;Ordre-finplanlægning;-;-;Uppdragsfinplanering;
Auftragsfeinplanung (FP;Production scheduler (PS;-;-;-;Uppdragsfinplanering (FP;
Auftragsfeinplanung (FP) V 6.3 - INCLUDIS;Production scheduler (PS) V 6.3 - INCLUDIS;-;-;-;-;
Auftragsfortschrift ab;Job progress at;-;-;-;Uppdragsframsteg från och med;
Auftragsfortschritt;Job progress;-;-;-;Uppdrag framsteg;
Auftragsfortschritt ab;job progress from;-;-;-;-;
Auftragsfreigabe;Release job;-;-;Uvolnení zakázky;Uppdrag frisläppning;
Auftragsinformation;Job information;Ordreinformation;-;-;Uppdragsinformation;
Auftragsliste;Job list;Ordreliste;Lista de tareas;-;Uppdragslista;
Auftragsliste alle Maschinen;Job list of all machines;-;-;-;Uppdragslista alla maskiner;
Auftragsliste M;Job list M;Ordreliste M;-;-;Uppdragslista M;
Auftragsmangel;Job lack;-;-;-;-;
Auftragsmangel [h;Job lack [h;-;-;-;-;
Auftragsmangel [min;Job lack [min;-;-;-;-;
Auftragsmenge erfüllt;Job quantity fulfilled;-;-;-;Uppdragsmängd uppfylld;
AuftragsNr;#Job;-;-;-;-;
Auftragsnr;#Job;-;-;-;Uppdragsnr.;
Auftragsnummer;#Job;Ordrenummer;-;-;Uppdragsnummer;
Auftragsnummer bereits vorhanden;Job no already exists;-;-;-;Uppdragsnummer existerar redan;
Auftragsnummer eingeben;Enter Job no;-;-;-;Mata in uppdragsnummer;
Auftragsnummer existiert bereits;Job number existed;-;-;-;Uppdragsnummer existerar redan;
Auftragsnummer ist erforderlich;Job number is necessary;-;-;-;Uppdragsnummer erforderligt;
Auftragsnummer zu lang. Max. 25 Stellen sind erlaubt;Job no to long. Max 25 numbers allowed;-;-;-;Uppdragsnummer för långt. Max 25 tecken tillåtna;
Auftragsstart;Job start;Ordrestart;-;-;Uppdragsstart;
Auftragsstart eingeben;Enter job start;Angiv ordrestart;-;-;Mata in uppdragsstart;
Auftragsstart über Fertigungsauftrag mit BC;Jobstart with production contract with BC;-;-;-;Uppdragsstart via produktionsuppdrag med BC;
Auftragsstatistik;Job statistics;Ordrestatistik;-;-;Uppdragsstatistik;
Auftragsstatistik drucken;Print job statistics;-;-;-;Utskrift uppdragsstatistik;
Auftragsstatus;Job status;-;-;-;Uppdragsstatus;
Auftragstart;Job start;Ordrestart;-;-;Uppdragsstart;
Auftragstart über Barcode;Jobstart with barcode;-;-;-;Uppdragsstart via streckkkod;
Auftragstatistik;Job statistics;-;-;-;Uppdragsstatistik;
Auftragstatistik gedruckt;Job statististics printed;-;-;-;-;
Auftragstatus;Job status;-;-;-;Uppdragsstatus;
Auftragsterminierung ohne Pausen;Jobscheduling without breaks;-;-;-;Uppdragsterminering utan pauser;
Auftragsverwaltung;Job management;Ordreforvaltning;Administración de tareas;-;Uppdragsförvaltning;
Auftragsvorbetrachtung;Job previewing;Se ordre;-;-;Förhandsgranskning av uppdrag;
Auftragsvorgabe;Job allowance;Ordrerabat?;-;-;Uppdragsföregivelse;
Auftragterminierung ohne Pausen;Job scheduling without breaks;Planlægge ordre uden pause;-;-;Uppdragsterminering utan pauser;
Aug;aug;-;-;-;aug;
August;August;-;Agosto;-;Augusti;
aus Auftragarchiv exportiert;exported from job archive;-;-;-;exportera ur uppdragsarkiv;
Aus Datenbank drucken;Print from database;-;-;-;Utskrift från databas;
aus der Auftragsliste;from the job list;Fra ordrelisten;-;-;ur uppdragslistan;
Aus der Werkstatt löschen;Delete from shopfloor;-;-;-;-;
aus Excel importieren;Import from Excel;-;-;-;importera ur Excel;
aus PDE exportiert;exported from PDE table;-;exported from PDE;-;exportera ur PDE;
aus PDEKombi exportiert;exported from PDEKombi table;-;-;-;-;
Ausblenden von Menüpunkten in der Controlling;Disable menu itmes in controlling;-;-;-;Deaktivera menypunkter i controllingen;
Ausblenden von Menüpunkten in Planungsmodul;Disable menu items in production scheduler;-;-;-;Deaktivera menypunkter i planeringsmodulen;
Ausdruck  (STRG - D;Print (Ctrl - P;Udprint (Ctrl - D;-;-;Utskrift (CTRL - P;
Ausdruck erfolgt;Printout successfull;-;-;-;Utskrift genomförd;
Ausdruck vom;Printed on;-;-;-;-;
Ausgabe;Output;-;-;-;-;
Ausgabe:  ~Datum Zeit;Output: ~date time;-;-;-;Indikering: ~datum tid;
Ausgabe:  ~Einheit~ anfügen;Output: attach ~unit~;-;-;-;Indikering: bifoga ~enhet~;
Ausgabe:  ~normal;Output: ~normal;-;-;-;Indikering: ~normal;
Ausgabe:  ~Stunde:Minute;Output: ~hour:minute;-;-;-;Indikering: ~timme:minut;
Ausgabe:  ~Tag:Stunde:Minute;Output: ~day:hour:minute;-;-;-;Indikering: ~dag:time:minut;
Ausgabe: ~als Farbe;Output: ~as color;;;;;
Ausgabe: ~Mengeneinheit;Output: ~material unit;-;-;-;-;
Ausgabe: ~Nachkommastellen;Output: ~decimal place;;;;;
Ausgabe: ~Stunde;Output: ~hour;-;-;-;Indikering: ~timme;
Ausgabe: ~Taktzeit in Min;Output: ~cycle time in min;-;-;-;Indikering: ~takttid i min;
Ausgabe: ~Taktzeit in Sek;Output: ~cycle time in sec;-;-;-;Indikering: ~takttid i sek;
Ausgabe: ~Zahl mit Trennzeich;Output: ~number with separator;-;-;-;Indikering: ~tal med separator;
Ausgaben;Outputs;-;-;-;-;
Ausgeblendet;Hidden;-;-;-;-;
ausgewählte;selected;-;-;-;-;
ausgewählte Maschinen;Selected machines;-;-;-;valda maskiner;
Auslastung;Utilisation;Arbejdsbelastning;-;-;Utnyttjning;
Ausrichtung;Alignment;Justering;-;-;Justering;
Aussch./Stck;Scrap/pcs.;-;-;-;Utskott/styck;
Ausschalten der Möglichkeit der Autoterminierung;Disable autotiming function;-;-;-;Koppla ifrån möjligheten för autoterminering;
Ausschu;Scrap;-;-;-;Utskott;
Ausschuss;Scrap;Udskud;Defecto;-;Utskott;
Ausschuß;Scrap;Affald;Defecto;-;Utskott;
Ausschuss (kalk;Scrap (calc.;-;-;-;-;
Ausschuss (man;Scrap (man;-;-;-;-;
Ausschuss [Stk;Scrap [pcs;-;-;-;-;
Ausschuss bearbeiten;Edit scrap;-;-;-;Redigera utskott;
Ausschuss buchen;Book scrap;Bogfør scrap;-;-;Boka utskott;
Ausschuß buchen;Book scrap;registrer udskud;Registrar defecto;-;Boka utskott;
Ausschuss gebucht;Scrap booked;Scrap bogført;-;-;-;
Ausschuß ges;Sum Scrap;-;Defecto completo;-;Utskott totalt;
Ausschuss gesamt auf;Scrap total;-;-;-;-;
Ausschuß in Stück;Scrap in pcs;-;Defecto piezas;-;Utskott i styck;
Ausschuss löschen;Delete scrap;-;-;-;Radera utskott;
Ausschuss nach Teilen;Scrap parts;-;-;-;-;
Ausschuss Protokoll;Scrap log;-;Informe sobre defectos;-;Utskottsprotokoll;
Ausschuss von produzierter Stückzahl abziehen, nicht auf Soll addieren;Subtract scrap from produced amount, do not add to set amount;-;-;-;Dra av utskott från producerade stycktal, addera ej till bör-värdet;
Ausschuss/Stückzahl;Srap/Amount;-;-;-;-;
Ausschussbuchung in Werkstatt;Book scrap in plant monitoring;-;-;-;Bokning av utskott i verkstad;
Ausschußbuchungen über Werkstatt  (Werkstatt_Ausschuss;Book scrap in Plant Monitoring (Plant_Monitoring_scrap;-;-;-;Utskottsbokning via verkstad (verkstad_utskott;
Ausschussgrund;Scrap reason;-;Motivo del defecto;-;Orsak för utskott;
Ausschussgrund anlegen;Create scrap reason;-;Crear motivo del defecto;-;Skapa orsak för utskott;
Ausschussgrund anlegen/bearbeiten;Create / Edit scrap reason;-;Crear / Editar Motivo del defecto;-;Skapa/redigera orsak för utskott;
Ausschussgrund löschen;Delete scrap reason;-;Eliminar motivo de defecto;-;Radera orsak för utskott;
Ausschussgrund nicht vorhanden;Scrap reason does not exist;-;Motivo de defecto no existente;-;Orsak för utskott existerar ej;
Ausschussgründe;Scrap reasons;-;-;-;Orsaker för utskott;
Ausschussgründe als Liste;Scrap cause as list;-;-;-;-;
Ausschussgründe zum Drucken;Print scrap reason;-;-;-;Orsaker för utskott för utskrift;
Ausschussmenge;Amount scrap;-;suma de defecto;-;Utskottsmängd;
Ausschussprz;Scrap [%];-;Defectopct;-;Utskotts-procent;
Ausst;Output;-;Salida;-;Prod.;
Ausstoss;Output;-;Salida;-;Producerat;
Auswahl;Selection;Vælge;-;-;Urval;
Auswahl zuordnen;Allocate choice;-;-;-;Tillordna urval;
auszul.Menge;quantity to deliver;-;-;-;mängd som skall levereras;
auszulief.Menge;quantity to deliver;-;-;-;mängd som skall levereras;
Auto;Auto;-;-;-;Auto;
AUTOAUSSCHUSS_AUFTRAG;AUTO_SCRAP_JOB;-;-;-;-;
AUTOAUSSCHUSS_AUFTRAGSCHICHT;AUTO_SCRAP_JOB_SHIFT;-;-;-;-;
AUTOAUSSCHUSS_SCHICHT;AUTO_SCRAP_SHIFT;-;-;-;-;
Autoexport;Autoexport;-;-;-;Autoexport;
AutoInc;AutoInc;-;-;-;AutoInc;
Automatik;automatic;-;-;-;Automatik;
Automatikstart;Automatic start;-;-;-;Automatisk start;
Automatisch Programmnr. lesen (Metall;Automatically read of program no. (metal;-;-;-;Läs in programmnummer automatiskt (metall;
Automatisch Rüsten von Ende bis Start;Automatically set up from job end to job start;-;-;-;Automatisk riggning från slut till start;
Automatische Generierung der Auftrag-Nr;Automatic generating of job no;Automatisk generering af ordrenr;-;-;Automatisk generering av uppdragsnr.;
Automatischer Eintrag Stillstandsgrund;Automatically entry downtime code;-;-;-;Automatisk indikering av orsak för stillestånd;
Automatisches Rüsten eines Auftrages bei Änderung der Auftragsnr;Automatically set up of jobs by changing of job number;-;-;-;Automatisk riggning av ett uppdrag vid ändring av uppdragsnumret;
AUTORUESTEN;AUTO_SET_UP;-;-;-;-;
AUTOSTARTBEI;AUTO_START_AT;-;-;-;-;
Autoterminieren vor Druck;autotiming before print;-;-;-;-;
B - Auftrag beendet;B – Job finished;-;-;-;B - uppdrag avslutat;
B E T R I E B S A U F T R A G   Nr;JOB No;P R O D U K T I O N S O R D R E  Nr;-;-;A R B E T S U P P D R A G  Nr;
B-Urlaub;B-Vacation;-;Vacaciones-B;-;B - semester;
Backup Tool;Backup Tool;-;-;-;Backup-verktyg;
bahnig drucken;column print;-;-;-;utskrift i kolumner;
bahnig: Abstand Etiketten;column: span labels;-;-;-;kolumn: avstånd etiketter;
Balken;Bar;Bjælker;-;-;Balkar;
Balkenbreite (0 - automatisch;Bar width (0 - automatic;-;-;-;Balkbredd (0 - automatiskt;
BANr;Job no;-;-;-;AU nr;
Barcode;Barcode;Stregkode;Código de barras;-;Streckkod;
BARCODE;BARCODE;-;-;-;STRECKKOD;
Barcode bereits vorhanden;Label already exists;-;-;-;-;
Barcode Druck;Print barcode label;-;-;-;Streckkod-utskrift;
Barcode Druck-Modul;Module label print;stregkode printmodul;-;-;Streckkod utskriftsmodul;
Barcode drucken;Print label;-;-;-;-;
Barcode gelesen;Barcode already read;-;-;-;Streckkod läst;
Barcode Kommunikation;Barcode communication;-;-;-;Streckkod kommunikation;
Barcode Layout;Label layout;-;-;-;Streckkod layout;
BARCODE_GELESEN;BARCODE_READ;-;-;-;STRECKKOD_LÄST;
Barcode_Lager;Barcode_Store;-;-;-;Streckkod_lager;
Barcode-Labels drucken;Print barcode-labels;Print stregkodelabel;-;-;Utskrift streckkods-etiketter;
Barcode-Lager;Barcode store;-;-;-;Streckkod-lager;
Barcodearchiv;Barcode archive;Barcodearkiv;Archivo de códigos de barras;-;Streckkodarkiv;
BarCodeLayout;Label layout;-;-;-;StreckkodLayout;
Barcodeleser;Barcode reader;-;-;-;Streckkodläsare;
BAUJAHR;CONSTRUCTIONYEAR;-;-;-;ÅRSMODELL;
Baujahr;Year of construction;-;-;-;Årsmodell;
Bauteile;Components;-;-;-;Komponenter;
BC-Liste Ausschussgrund;BC-list scrap reason;-;BC-lista motivo de defecto;-;SK-lista utskottsorsak;
